mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12,,,,,,,,,,,,,,
54.30122,18.044725,13.364685,-4.2327633,6.104978,-3.2582057,6.0282106,-3.880867,4.72275,-3.9509852,6.0195804,-3.6717455,,,,,,,,,,,,,,
43.076336,19.652643,12.737481,-4.589955,4.6811056,-3.0991428,7.66286,-3.4342713,4.493513,-4.7770643,5.494801,-3.7763777,,,,,,,,,,,,,,
61.783096,9.455581,9.620339,-1.6909157,5.364287,-2.4266567,5.604866,-2.778567,4.8624773,-3.6813798,3.90892,-4.066706,,,,,,,,,,,,,,
59.224804,9.628249,11.244306,-0.21123609,6.4015737,-2.730868,5.7989984,-1.6869048,6.634744,-2.877158,4.024192,-5.0043325,,,,,,,,,,,,,,
46.449577,13.382706,11.463558,-1.8096825,6.424388,-1.9644835,7.3959465,-1.4154605,7.1565065,-2.6359234,4.8935595,-4.6892905,,,,,,,,,,,,,,
9.173145,23.654842,15.568047,-2.501624,10.028122,0.08492658,10.077229,-3.176451,6.3987217,-4.9863067,4.289046,-5.8768516,,,,,,,,,,,,,,
15.265852,21.908806,14.84549,0.015397701,9.040001,-0.59782493,9.941544,-5.7719393,4.9645777,-5.701465,2.4785302,-5.994474,,,,,,,,,,,,,,
9.224416,22.413946,16.446362,-3.9314387,7.062072,-1.4992862,8.755126,-5.7342834,5.5317745,-2.6931188,3.8955016,-4.2293916,,,,,,,,,,,,,,
16.74883,18.95513,13.493283,-2.9600368,6.1394615,-1.7237704,6.758379,-3.9937623,4.064342,-5.267889,5.311423,-3.1559148,,,,,,,,,,,,,,
18.708172,23.375105,9.461355,-5.288002,6.5919156,-3.674756,6.9309106,-4.2589726,6.37999,-2.8042564,6.107288,-6.1847377,,,,,,,,,,,,,,
35.919018,22.920736,6.2066817,-6.15184,8.220974,-1.8158042,7.197399,-2.879091,6.182779,-2.6603496,5.7315955,-6.238452,,,,,,,,,,,,,,
38.020435,20.750994,5.7604594,-8.514198,5.089085,-2.7356708,7.275028,-4.6399703,5.6086082,-2.1353989,5.741254,-5.439931,,,,,,,,,,,,,,
22.70703,25.811434,6.045127,-8.036756,6.2981524,-2.378357,8.47882,-4.5474524,7.3535805,-1.755913,6.351663,-5.9312882,,,,,,,,,,,,,,
40.46753,18.926758,11.30693,-5.2578607,3.899307,-3.437273,6.4202166,-3.2170486,6.5555696,-2.1459365,5.8148813,-4.6782775,,,,,,,,,,,,,,
43.612606,12.000642,10.140367,-2.7855828,5.9027543,-0.7237821,8.222969,-1.40736,5.710746,-3.641697,5.3681293,-3.1231513,,,,,,,,,,,,,,
23.793737,19.940733,12.498701,-4.1228557,6.1632338,-0.7867158,8.880327,-2.3669343,6.4334397,-3.5317464,4.975645,-5.050903,,,,,,,,,,,,,,
10.444751,23.378166,15.305478,-7.3982143,4.6837397,-3.4651334,8.386855,-2.7378085,5.6406965,-4.718678,4.575904,-4.768552,,,,,,,,,,,,,,
0.40287304,27.680517,11.925641,-8.965284,5.39731,-2.7704608,8.28099,-3.9932663,5.8059864,-5.8286467,5.741922,-7.4171653,,,,,,,,,,,,,,
0.57776165,27.297056,12.722464,-8.231157,6.4773664,-3.5243273,6.033268,-4.244577,5.3145885,-4.767971,6.0429797,-6.3766418,,,,,,,,,,,,,,
-4.3804736,18.953367,13.974667,-8.852865,4.8929768,-1.7850829,7.5034275,-3.4389248,4.6760135,-5.422739,4.700082,-5.293094,,,,,,,,,,,,,,
42.09191,24.365906,4.655803,-8.712833,1.3610733,-5.0482817,4.485292,-4.201893,4.0863314,-4.9610066,9.204092,-3.7087896,,,,,,,,,,,,,,
70.18413,19.5055,11.397142,-5.863384,3.7079685,-4.5423827,6.2763247,-2.0054293,5.9118185,-3.0784223,4.661893,-4.7682877,,,,,,,,,,,,,,
56.433132,28.675915,12.4052,-5.8489847,3.2143476,-4.858948,7.2693515,-4.22298,5.1261067,-4.301257,7.9603386,-4.902293,,,,,,,,,,,,,,
75.84268,13.875089,10.529066,-3.2763886,4.4763064,-3.8259225,4.8423166,-2.774658,6.049277,-3.0763917,4.86206,-3.4815023,,,,,,,,,,,,,,
62.232723,16.561403,12.561098,-3.792204,3.7828228,-4.243591,6.3534684,-3.8388424,4.759807,-3.9915874,5.548995,-3.0488052,,,,,,,,,,,,,,
